STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,CURRENCY,Currency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FJ,Fiji,GDPC,"Gross Domestic Product, current prices",2022,,10958305,,FJD,Fiji Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FJ,Fiji,GDPC,"Gross Domestic Product, current prices",2023,,12323204,,FJD,Fiji Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FJ,Fiji,GDPC,"Gross Domestic Product, current prices",2024,,13537495,,FJD,Fiji Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FM,Micronesia (Federated States of),GDPCVR,"Variation rate of Gross Domestic Product, current prices",2006,,1.79,,PERCENT,percent,,,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FM,Micronesia (Federated States of),GDPCVR,"Variation rate of Gross Domestic Product, current prices",2007,,0.9,,PERCENT,percent,,,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FM,Micronesia (Federated States of),GDPCVR,"Variation rate of Gross Domestic Product, current prices",2008,,2.49,,PERCENT,percent,,,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FM,Micronesia (Federated States of),GDPCVR,"Variation rate of Gross Domestic Product, current prices",2009,,6.5,,PERCENT,percent,,,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FM,Micronesia (Federated States of),GDPCVR,"Variation rate of Gross Domestic Product, current prices",2010,,5.92,,PERCENT,percent,,,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FM,Micronesia (Federated States of),GDPCVR,"Variation rate of Gross Domestic Product, current prices",2011,,4.85,,PERCENT,percent,,,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FM,Micronesia (Federated States of),GDPCVR,"Variation rate of Gross Domestic Product, current prices",2012,,5.14,,PERCENT,percent,,,,,,,,
