STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,COMMODITY,Commodity,TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_STATUS,Observation Status,UNIT_MULT,Unit multiplier,UNIT_MEASURE,Unit of measure,BASE_PER,Base period,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,KI,Kiribati,INF,Inflation rate,_T,Total,2023,,9.2,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,KI,Kiribati,INF,Inflation rate,_T,Total,2024,,2.6,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,NR,Nauru,INF,Inflation rate,_T,Total,2017,,1.8,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,NR,Nauru,INF,Inflation rate,_T,Total,2018,,2.7,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,NR,Nauru,INF,Inflation rate,_T,Total,2019,,2.7,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,NR,Nauru,INF,Inflation rate,_T,Total,2020,,1.2,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,NR,Nauru,INF,Inflation rate,_T,Total,2021,,1.1,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,NR,Nauru,INF,Inflation rate,_T,Total,2022,,3.3,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,NR,Nauru,INF,Inflation rate,_T,Total,2023,,6.9,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,NR,Nauru,INF,Inflation rate,_T,Total,2024,,15.4,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PG,Papua New Guinea,INF,Inflation rate,_T,Total,2016,,6.7,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PG,Papua New Guinea,INF,Inflation rate,_T,Total,2017,,5.4,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PG,Papua New Guinea,INF,Inflation rate,_T,Total,2018,,4.6,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PG,Papua New Guinea,INF,Inflation rate,_T,Total,2019,,3.7,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PG,Papua New Guinea,INF,Inflation rate,_T,Total,2020,,4.9,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PG,Papua New Guinea,INF,Inflation rate,_T,Total,2021,,4.5,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PG,Papua New Guinea,INF,Inflation rate,_T,Total,2022,,5.3,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PG,Papua New Guinea,INF,Inflation rate,_T,Total,2023,,2.3,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PG,Papua New Guinea,INF,Inflation rate,_T,Total,2024,,0.6,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PG,Papua New Guinea,INF,Inflation rate,_T,Total,2025,,4.4,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,GU,Guam,INF,Inflation rate,_T,Total,2016,,6,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,GU,Guam,INF,Inflation rate,_T,Total,2017,,2.5,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,GU,Guam,INF,Inflation rate,_T,Total,2018,,2.6,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,GU,Guam,INF,Inflation rate,_T,Total,2019,,1.8,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,GU,Guam,INF,Inflation rate,_T,Total,2020,,1.7,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,GU,Guam,INF,Inflation rate,_T,Total,2021,,3.8,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,GU,Guam,INF,Inflation rate,_T,Total,2022,,7.9,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,GU,Guam,INF,Inflation rate,_T,Total,2023,,8.7,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,GU,Guam,INF,Inflation rate,_T,Total,2024,,4.2,,,,,,PERCENT,percent,,,,
